Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Rainfall_Category,Growing_Degree_Days,Temperature_Category,Pesticide_Category,Rainfall_Temp_Ratio,Yield_per_Pesticide
Albania,Soybeans,1997,12768,1485.0,376.93,15.9,High,5.9,Moderate,Low,93.39622641509433,33.784034080385254
Albania,Wheat,1997,28516,1485.0,376.93,15.9,High,5.9,Moderate,Low,93.39622641509433,75.45312624030905
Albania,Maize,1998,33416,1485.0,439.89,16.27,High,6.27,Moderate,Low,91.27228027043638,75.79214770124068
Albania,Potatoes,1998,127212,1485.0,439.89,16.27,High,6.27,Moderate,Low,91.27228027043638,288.5345551044478
Albania,Soybeans,1998,14327,1485.0,439.89,16.27,High,6.27,Moderate,Low,91.27228027043638,32.495633831567964
Albania,Wheat,1998,28037,1485.0,439.89,16.27,High,6.27,Moderate,Low,91.27228027043638,63.591825625439455
Albania,Maize,1999,37455,1485.0,502.86,16.57,High,6.57,Moderate,Low,89.6197948098974,74.336125114119
Albania,Potatoes,1999,142018,1485.0,502.86,16.57,High,6.57,Moderate,Low,89.6197948098974,281.860040487437
Albania,Soybeans,1999,17143,1485.0,502.86,16.57,High,6.57,Moderate,Low,89.6197948098974,34.023339816615724
Albania,Wheat,1999,24954,1485.0,502.86,16.57,High,6.57,Moderate,Low,89.6197948098974,49.525661890207594
Albania,Maize,2000,38811,1485.0,565.82,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,68.47147242510849
Albania,Potatoes,2000,141228,1485.0,565.82,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,249.15846300412827
Albania,Soybeans,2000,15000,1485.0,565.82,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,26.463427543135385
Albania,Wheat,2000,30455,1485.0,565.82,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,53.729579055079206
Albania,Maize,2001,38135,1485.0,628.79,16.59,High,6.59,Moderate,Low,89.5117540687161,60.55193000841551
Albania,Potatoes,2001,148818,1485.0,628.79,16.59,High,6.59,Moderate,Low,89.5117540687161,236.29781355689994
Albania,Soybeans,2001,20000,1485.0,628.79,16.59,High,6.59,Moderate,Low,89.5117540687161,31.75661728512679
Albania,Wheat,2001,28220,1485.0,628.79,16.59,High,6.59,Moderate,Low,89.5117540687161,44.8085869893139
Albania,Maize,2002,39460,1485.0,691.75,16.47,High,6.469999999999999,Moderate,Low,90.16393442622952,56.96138578130639
Albania,Potatoes,2002,153868,1485.0,691.75,16.47,High,6.469999999999999,Moderate,Low,90.16393442622952,222.1118729700469
Albania,Soybeans,2002,20000,1485.0,691.75,16.47,High,6.469999999999999,Moderate,Low,90.16393442622952,28.870443883074703
Albania,Wheat,2002,31617,1485.0,691.75,16.47,High,6.469999999999999,Moderate,Low,90.16393442622952,45.63984121255864
Albania,Maize,2004,46197,1485.0,817.68,16.16,High,6.16,Moderate,Low,91.89356435643565,56.42864122734158
Albania,Potatoes,2004,149346,1485.0,817.68,16.16,High,6.16,Moderate,Low,91.89356435643565,182.42292470806666
Albania,Soybeans,2004,13333,1485.0,817.68,16.16,High,6.16,Moderate,Low,91.89356435643565,16.285972541163826
Albania,Wheat,2004,31130,1485.0,817.68,16.16,High,6.16,Moderate,Low,91.89356435643565,38.02462500610739
Albania,Maize,2005,45442,1485.0,880.64,15.67,High,5.67,Moderate,Low,94.76707083599234,51.54257973776144
Albania,Potatoes,2005,167061,1485.0,880.64,15.67,High,5.67,Moderate,Low,94.76707083599234,189.48890703688582
Albania,Soybeans,2005,17500,1485.0,880.64,15.67,High,5.67,Moderate,Low,94.76707083599234,19.849371625606825
Albania,Wheat,2005,31582,1485.0,880.64,15.67,High,5.67,Moderate,Low,94.76707083599234,35.82187741028084
Albania,Maize,2006,50111,1485.0,943.61,15.92,High,5.92,Moderate,Low,93.27889447236181,53.049406633425434
Albania,Potatoes,2006,170745,1485.0,943.61,15.92,High,5.92,Moderate,Low,93.27889447236181,180.75713786642106
Albania,Soybeans,2006,20000,1485.0,943.61,15.92,High,5.92,Moderate,Low,93.27889447236181,21.172759128105778
Albania,Wheat,2006,30787,1485.0,943.61,15.92,High,5.92,Moderate,Low,93.27889447236181,32.59228676384963
Albania,Maize,2007,46732,1485.0,1006.57,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,46.380896612642296
Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,187.48275554055797
Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,19.84973748722173
Albania,Wheat,2007,35496,1485.0,1006.57,16.67,High,6.670000000000002,Moderate,Low,89.08218356328733,35.229314092321125
Albania,Maize,2008,50000,1485.0,1069.54,16.71,High,6.710000000000001,Moderate,Low,88.8689407540395,46.7054010125731
Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,High,6.710000000000001,Moderate,Low,88.8689407540395,181.10299475031294
Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,High,6.710000000000001,Moderate,Low,88.8689407540395,18.682160405029236
Albania,Wheat,2008,40168,1485.0,1069.54,16.71,High,6.710000000000001,Moderate,Low,88.8689407540395,37.52125095746072
Albania,Maize,2009,55693,1485.0,1132.5,16.73,High,6.73,Moderate,Low,88.76270173341302,49.13365681517424
Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,High,6.73,Moderate,Low,88.76270173341302,193.89501543890606
Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,High,6.73,Moderate,Low,88.76270173341302,14.704014115571239
Albania,Wheat,2009,40229,1485.0,1132.5,16.73,High,6.73,Moderate,Low,88.76270173341302,35.49095721217468
Albania,Maize,2010,66790,1485.0,1311.17,16.52,High,6.52,Moderate,Low,89.89104116222761,50.90041686671696
Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,High,6.52,Moderate,Low,89.89104116222761,176.12885525503555
Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,High,6.52,Moderate,Low,89.89104116222761,12.70186027725066
Albania,Wheat,2010,39905,1485.0,1311.17,16.52,High,6.52,Moderate,Low,89.89104116222761,30.4114558327046
Albania,Maize,2011,59869,1485.0,1302.63,16.45,High,6.449999999999999,Moderate,Low,90.27355623100304,45.924840637297386
Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,High,6.449999999999999,Moderate,Low,90.27355623100304,185.79735047521152
Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,High,6.449999999999999,Moderate,Low,90.27355623100304,14.205717880073333
Albania,Wheat,2011,42301,1485.0,1302.63,16.45,High,6.449999999999999,Moderate,Low,90.27355623100304,32.44862422619915
Albania,Maize,2012,67290,1485.0,766.25,16.7,High,6.699999999999999,Moderate,Low,88.92215568862275,87.702834799609
Albania,Potatoes,2012,250538,1485.0,766.25,16.7,High,6.699999999999999,Moderate,Low,88.92215568862275,326.54024112088626
Albania,Soybeans,2012,13333,1485.0,766.25,16.7,High,6.699999999999999,Moderate,Low,88.92215568862275,17.37764744216357
Albania,Wheat,2012,41096,1485.0,766.25,16.7,High,6.699999999999999,Moderate,Low,88.92215568862275,53.562724014336915
Albania,Maize,2013,69533,1485.0,982.32,17.41,High,7.41,Moderate,Low,85.29580700746698,70.71248423707439
Albania,Potatoes,2013,260110,1485.0,982.32,17.41,High,7.41,Moderate,Low,85.29580700746698,264.5222308099093
Albania,Soybeans,2013,10000,1485.0,982.32,17.41,High,7.41,Moderate,Low,85.29580700746698,10.169629418703982
Albania,Wheat,2013,41292,1485.0,982.32,17.41,High,7.41,Moderate,Low,85.29580700746698,41.99243379571248
Algeria,Maize,1990,16500,89.0,1828.92,17.48,Low,7.48,Moderate,Medium,5.091533180778032,9.016787619130891
Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,Low,7.48,Moderate,Medium,5.091533180778032,43.13631196992218
Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,Low,7.48,Moderate,Medium,5.091533180778032,15.301215353676662
Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,Low,7.48,Moderate,Medium,5.091533180778032,9.055587129491999
Algeria,Wheat,1990,6315,89.0,1828.92,17.48,Low,7.48,Moderate,Medium,5.091533180778032,3.4509705342310046
Algeria,Maize,1991,19231,89.0,2461.8,16.26,Low,6.260000000000002,Moderate,Medium,5.473554735547355,7.808591846678577
Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,Low,6.260000000000002,Moderate,Medium,5.473554735547355,36.847084619132694
Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,Low,6.260000000000002,Moderate,Medium,5.473554735547355,10.876238427805749
Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,Low,6.260000000000002,Moderate,Medium,5.473554735547355,9.838801364300796
Algeria,Wheat,1991,10809,89.0,2461.8,16.26,Low,6.260000000000002,Moderate,Medium,5.473554735547355,4.3889069351957115
Algeria,Maize,1992,22828,89.0,1215.47,16.27,Low,6.27,Moderate,Low,5.47019053472649,18.765773097569195
Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,Low,6.27,Moderate,Low,5.47019053472649,88.71324405862865
Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,Low,6.27,Moderate,Low,5.47019053472649,20.331779657533684
Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,Low,6.27,Moderate,Low,5.47019053472649,32.882027505816005
Algeria,Wheat,1992,9939,89.0,1215.47,16.27,Low,6.27,Moderate,Low,5.47019053472649,8.170361784507632
Algeria,Maize,1993,12500,89.0,1021.89,17.0,Low,7.0,Moderate,Low,5.235294117647059,12.220277840236976
Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,Low,7.0,Moderate,Low,5.235294117647059,108.72625600015643
Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,Low,7.0,Moderate,Low,5.235294117647059,22.59382729325734
Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,Low,7.0,Moderate,Low,5.235294117647059,48.881111360947905
Algeria,Wheat,1993,8097,89.0,1021.89,17.0,Low,7.0,Moderate,Low,5.235294117647059,7.915807173791904
Algeria,Maize,1994,4512,89.0,1255.02,17.88,Low,7.879999999999999,Moderate,Low,4.977628635346757,3.5922994856769797
Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,Low,7.879999999999999,Moderate,Low,4.977628635346757,75.69783920638207
Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,Low,7.879999999999999,Moderate,Low,4.977628635346757,17.017244948328848
Algeria,Wheat,1994,7999,89.0,1255.02,17.88,Low,7.879999999999999,Moderate,Low,4.977628635346757,6.368529163548351
Algeria,Maize,1995,16115,89.0,2697.09,17.36,Low,7.359999999999999,Moderate,Medium,5.126728110599078,5.972743681641457
Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,Low,7.359999999999999,Moderate,Medium,5.126728110599078,50.69067377292826
Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,Low,7.359999999999999,Moderate,Medium,5.126728110599078,7.263656883202561
Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,Low,7.359999999999999,Moderate,Medium,5.126728110599078,4.694802619630924
Algeria,Wheat,1995,8924,89.0,2697.09,17.36,Low,7.359999999999999,Moderate,Medium,5.126728110599078,3.3075249528370065
Algeria,Maize,1996,17154,89.0,479.77,16.76,Low,6.760000000000002,Moderate,Low,5.310262529832935,35.68026291157934
Algeria,Potatoes,1996,134629,89.0,479.77,16.76,Low,6.760000000000002,Moderate,Low,5.310262529832935,280.02787195540486
Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,Low,6.760000000000002,Moderate,Low,5.310262529832935,37.15082055868711
Algeria,Sorghum,1996,14750,89.0,479.77,16.76,Low,6.760000000000002,Moderate,Low,5.310262529832935,30.679950912078542
Algeria,Wheat,1996,13090,89.0,479.77,16.76,Low,6.760000000000002,Moderate,Low,5.310262529832935,27.227156436549702
Algeria,Maize,1997,21417,89.0,401.22,17.84,Low,7.84,Moderate,Low,4.988789237668161,53.24697926507881
Algeria,Potatoes,1997,141042,89.0,401.22,17.84,Low,7.84,Moderate,Low,4.988789237668161,350.6588434190244
Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,Low,7.84,Moderate,Low,4.988789237668161,37.29302371836308
Algeria,Sorghum,1997,40000,89.0,401.22,17.84,Low,7.84,Moderate,Low,4.988789237668161,99.44806324896823
Algeria,Wheat,1997,8016,89.0,401.22,17.84,Low,7.84,Moderate,Low,4.988789237668161,19.92939187509323
Algeria,Maize,1998,17222,89.0,322.84,17.14,Low,7.140000000000001,Moderate,Low,5.192532088681447,53.18058300395257
Algeria,Potatoes,1998,160256,89.0,322.84,17.14,Low,7.140000000000001,Moderate,Low,5.192532088681447,494.86166007905143
Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,Low,7.140000000000001,Moderate,Low,5.192532088681447,46.31916996047431
Algeria,Sorghum,1998,24500,89.0,322.84,17.14,Low,7.140000000000001,Moderate,Low,5.192532088681447,75.6546442687747
Algeria,Wheat,1998,8847,89.0,322.84,17.14,Low,7.140000000000001,Moderate,Low,5.192532088681447,27.31904644268775
Algeria,Maize,1999,22375,89.0,654.45,17.97,Low,7.969999999999999,Moderate,Low,4.9526989426822485,34.1368525440537
Algeria,Potatoes,1999,153532,89.0,654.45,17.97,Low,7.969999999999999,Moderate,Low,4.9526989426822485,234.2390723930124
Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,Low,7.969999999999999,Moderate,Low,4.9526989426822485,21.270882599740634
Algeria,Sorghum,1999,27000,89.0,654.45,17.97,Low,7.969999999999999,Moderate,Low,4.9526989426822485,41.193073460981005
Algeria,Wheat,1999,10711,89.0,654.45,17.97,Low,7.969999999999999,Moderate,Low,4.9526989426822485,16.34144480890991
Algeria,Maize,2000,36186,89.0,603.67,17.9,Low,7.899999999999999,Moderate,Low,4.972067039106146,59.844212545686084
Algeria,Potatoes,2000,166143,89.0,603.67,17.9,Low,7.899999999999999,Moderate,Low,4.972067039106146,274.76640150826074
Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,Low,7.899999999999999,Moderate,Low,4.972067039106146,21.585327534026828
Algeria,Sorghum,2000,69500,89.0,603.67,17.9,Low,7.899999999999999,Moderate,Low,4.972067039106146,114.93872690889246
Algeria,Wheat,2000,9194,89.0,603.67,17.9,Low,7.899999999999999,Moderate,Low,4.972067039106146,15.204987844609457
Algeria,Maize,2001,27175,89.0,710.11,18.13,Low,8.129999999999999,Moderate,Low,4.908990623276337,38.21490346078666
Algeria,Potatoes,2001,147018,89.0,710.11,18.13,Low,8.129999999999999,Moderate,Low,4.908990623276337,206.7443855381024
Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,Low,8.129999999999999,Moderate,Low,4.908990623276337,17.316589557171184
Algeria,Sorghum,2001,27750,89.0,710.11,18.13,Low,8.129999999999999,Moderate,Low,4.908990623276337,39.02349847421637
Algeria,Wheat,2001,11104,89.0,710.11,18.13,Low,8.129999999999999,Moderate,Low,4.908990623276337,15.615024398475622
Algeria,Maize,2002,33480,89.0,816.55,17.85,Low,7.850000000000001,Moderate,Low,4.985994397759103,40.95162375389884
Algeria,Potatoes,2002,183774,89.0,816.55,17.85,Low,7.850000000000001,Moderate,Low,4.985994397759103,224.78625160540642
Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,Low,7.850000000000001,Moderate,Low,4.985994397759103,15.851018286343344
Algeria,Sorghum,2002,33900,89.0,816.55,17.85,Low,7.850000000000001,Moderate,Low,4.985994397759103,41.46535380099077
Algeria,Wheat,2002,10739,89.0,816.55,17.85,Low,7.850000000000001,Moderate,Low,4.985994397759103,13.135588037428905
Algeria,Maize,2004,31729,89.0,3747.86,17.38,Low,7.379999999999999,Moderate,Medium,5.120828538550058,8.463639613109052
Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,Low,7.379999999999999,Moderate,Medium,5.120828538550058,54.30584230939539
Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,Low,7.379999999999999,Moderate,Medium,5.120828538550058,3.4221069871907726
Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,Low,7.379999999999999,Moderate,Medium,5.120828538550058,11.554445884882337
Algeria,Wheat,2004,13582,89.0,3747.86,17.38,Low,7.379999999999999,Moderate,Medium,5.120828538550058,3.6229680489535485
Algeria,Maize,2005,33864,89.0,3662.87,17.19,Low,7.190000000000001,Moderate,Medium,5.177428737638161,9.242686012331223
Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,Low,7.190000000000001,Moderate,Medium,5.177428737638161,59.02693054065783
Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,Low,7.190000000000001,Moderate,Medium,5.177428737638161,3.547614953587327
Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,Low,7.190000000000001,Moderate,Medium,5.177428737638161,9.139516412973167
Algeria,Wheat,2005,15057,89.0,3662.87,17.19,Low,7.190000000000001,Moderate,Medium,5.177428737638161,4.109589041095891
Algeria,Maize,2006,65668,89.0,4110.72,18.13,Low,8.129999999999999,Moderate,Medium,4.908990623276337,15.970931872792894
Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,Low,8.129999999999999,Moderate,Medium,4.908990623276337,53.6731586781201
Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,Low,8.129999999999999,Moderate,Medium,4.908990623276337,3.105513021314681
Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,Low,8.129999999999999,Moderate,Medium,4.908990623276337,13.796659305594739
Algeria,Wheat,2006,15068,89.0,4110.72,18.13,Low,8.129999999999999,Moderate,Medium,4.908990623276337,3.664646425340247
Algeria,Maize,2007,85625,89.0,5390.79,17.42,Low,7.420000000000002,Moderate,Medium,5.109070034443168,15.880625914584952
Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,Low,7.420000000000002,Moderate,Medium,5.109070034443168,35.22522205056206
Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,Low,7.420000000000002,Moderate,Medium,5.109070034443168,2.480623318044657
Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,Low,7.420000000000002,Moderate,Medium,5.109070034443168,22.081535074622714
Algeria,Wheat,2007,12742,89.0,5390.79,17.42,Low,7.420000000000002,Moderate,Medium,5.109070034443168,2.363222603254207
Algeria,Maize,2008,44714,89.0,11556.12,17.55,Low,7.550000000000001,Moderate,Medium,5.071225071225071,3.868956971979178
Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,Low,7.550000000000001,Moderate,Medium,5.071225071225071,20.4543173385757
Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,Low,7.550000000000001,Moderate,Medium,5.071225071225071,1.20722117620999
Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,Low,7.550000000000001,Moderate,Medium,5.071225071225071,5.3461415992911725
Algeria,Wheat,2008,11038,89.0,11556.12,17.55,Low,7.550000000000001,Moderate,Medium,5.071225071225071,0.9550822350204895
Algeria,Maize,2009,30914,89.0,3867.99,17.78,Low,7.780000000000001,Moderate,Medium,5.005624296962879,7.990198992501919
Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,Low,7.780000000000001,Moderate,Medium,5.005624296962879,64.81381445803686
Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,Low,7.780000000000001,Moderate,Medium,5.005624296962879,3.772043866745585
Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,Low,7.780000000000001,Moderate,Medium,5.005624296962879,23.38207128992321
Algeria,Wheat,2009,15975,89.0,3867.99,17.78,Low,7.780000000000001,Moderate,Medium,5.005624296962879,4.128984567031706
Algeria,Maize,2010,25827,89.0,1295.88,17.59,Low,7.59,Moderate,Low,5.059693007390563,19.914718401085683
Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,Low,7.59,Moderate,Low,5.059693007390563,208.59755721423724
Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,Low,7.59,Moderate,Low,5.059693007390563,11.80140028375794
Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,Low,7.59,Moderate,Low,5.059693007390563,23.352970205416074
Algeria,Wheat,2010,14838,89.0,1295.88,17.59,Low,7.59,Moderate,Low,5.059693007390563,11.441305286533835
Algeria,Maize,2011,23374,89.0,13861.76,17.79,Low,7.789999999999999,Moderate,Medium,5.002810567734683,1.6861000262573975
Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,Low,7.789999999999999,Moderate,Medium,5.002810567734683,21.121767959627086
Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,Low,7.789999999999999,Moderate,Medium,5.002810567734683,1.1600143117243609
Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,Low,7.789999999999999,Moderate,Medium,5.002810567734683,7.213570746373738
Algeria,Wheat,2011,17405,89.0,13861.76,17.79,Low,7.789999999999999,Moderate,Medium,5.002810567734683,1.255521988406349
Algeria,Maize,2012,25583,89.0,17379.76,17.91,Low,7.91,Moderate,High,4.96929089893914,1.4719149220172192
Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,Low,7.91,Moderate,High,4.96929089893914,17.507347204610156
Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,Low,7.91,Moderate,High,4.96929089893914,0.958933901624555
Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,Low,7.91,Moderate,High,4.96929089893914,11.852185980359893
Algeria,Wheat,2012,17639,89.0,17379.76,17.91,Low,7.91,Moderate,High,4.96929089893914,1.0148578082891657
Algeria,Maize,2013,33649,89.0,17278.65,17.65,Low,7.649999999999999,Moderate,High,5.042492917847026,1.947319534828541
Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,Low,7.649999999999999,Moderate,High,5.042492917847026,17.54769338499333
Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,Low,7.649999999999999,Moderate,High,5.042492917847026,1.028840283223329
Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,Low,7.649999999999999,Moderate,High,5.042492917847026,3.472292552221833
Algeria,Wheat,2013,19100,89.0,17278.65,17.65,Low,7.649999999999999,Moderate,High,5.042492917847026,1.1053464624572835
Angola,Cassava,1990,41177,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,633.4923076923077
Angola,Maize,1990,2736,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,42.09230769230769
Angola,Potatoes,1990,40000,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,615.3846153846154
Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,146.33846153846153
Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,1374.4923076923078
Angola,Wheat,1990,7995,1010.0,64.0,24.12,High,14.120000000000001,Warm,Low,41.87396351575456,123.0
Angola,Cassava,1991,40295,1010.0,79.0,24.02,High,14.02,Warm,Low,42.048293089092425,503.6875
